text,value
من الان نزديک دو هفته است که خريدم کاملا و کاملا ازش راضي ام.,+2
رزولوشن صفحه اش پايينه در حالي که تبلت هاي 7 اينچي خوب مانند Ainol novo 7 venus و يا nexus 7 و .,-1
"قبل‌تر و در نقد و بررسی برادر بزرگ‌تر این تبلت یعنی Note 10.1 در مورد قابلیت لمس شناور توضیح دادیم،  بر طبق این قابلیت،  شما برای اینکه به دستگاه بفهمانید که به کدام نقطه اشاره می‌کنید لازم نیست که حتما آن‌را لمس نمایید و با مقداری فاصله نیز دستورات را درک می‌نماید.",0
"وجود سخت افزار بسیار قدرتمند،  صفحه نمایش شگفت انگیز FullHD،  دوربین‌های بسیار با کیفیت و طراحی بسیار خوب در کنار سیستم عامل محبوب اندروید 4،  باعث می‌گردد این تبلت نیز به یک گزینه خوب برای طرفداران تبلت های سطح بالا تبدیل گردد که در این سطح قیمت تقریبا بی رقیب نیز به نظر می‌رسد.",+2
یعنی مغز متفکر  این گوشی چیپ Snapdragon S4 است که پردازنده دو هسته ای 1  گیگاهرتزی Krait و پردازشگر گرافیکی Adreno 305 را پشتیبانی می‌کند.,0
سرعت گوشي هم واقعا رفته بالا .,+1
واقعا HD710 بايد يکي از برترين هاي سال دونست که ميتونه تقريبا همه رقيباشو بزنه کنار.,+2
بنابراین شما با پرداخت مبلغ خیلی کمی می توانید یک دوربین عکاسی و یک دوربین فیلم برداری را به صورت توامان داشته باشید.,+1
")
روان بدون هنگ
نرم‌افزار دوربين حرفه‌اي!",+1
GALAXY Tab 2 10.1 را نمی‌توان یک جانشین مناسب برای تبلت معروف GALAXY Tab 10.1 دانست.,-1
این دوربین مجهز به لنز 25-600 میلی متری با توانایی زوم 24 میلی متر می باشد که هم حالت واید بسیار عالی را ارائه می کند و هم توانایی زوم آن در سطح بسیار بالا و خوبی قرار می گیرد.,+2
"اين روزها که همه از گوشي و لپ تاپ  تبلت استفاده مي کنن پرينتر بدون واي فاي نمي تونه جذابيت چنداني داشته باشه ،  خصوصا با اين قيمت در حالي که اچ پي پرينترهاي بسيار با کيفيت و ارزوني رو ارائه مي کنه که هم صفحه ي لمسي و هم واي فاي دارن .",-1
با سپاس.,0
گروهی از آنها نیاز به اتصال به کامپیوتر برای کارکرد دارند ولی برخی دیگر این نیاز را ندارند و با داشتن کارت حافظه می توانند اسکن های تهیه شده را بر روی این کارت ها ذخیره کنند و در مواقع مورد نیاز استفاده کنند.,0
"همانند عکس‌های گرفته شده،  کیفیت فیلم‌برداری این تبلت نیز بسیار خوب و رضایت بخش است.",+2
پهنای این گوشی کاملاً در تضاد با اعتقاد اپل مبنی بر سایز 3.5 الی 4 اینچ استاندارد صفحه نمایش برای کار با یک دست است .,-1
اين محصول کيفيت خوبي در ساخت دارد ولي ظاهري تکراري و ارزش خريد ندارد.,-1
"بدین ترتیب که اگر در حال تایپ کردن در یک وسیله‌ی نقلیه باشید،  ممکن است در اثر تکان‌ها،  قسمت پایین کف دست شما مرتبا به تاچ پد برخورد کند و عمل کلیک انجام شود.",0
این وضعیت تا ایزو 800 به مراتب بدتر می‌گردد.,-1
"طراحی و ساخت گوشی Desire SV از جنس پلاستیک ساخته شده است و طراحی جمع و جور،  گوشه های انحنا دار و ابعاد مناسب این گوشی موجب می‌شود که استفاده از آن تنها با یک دست نیز امکان پذیر باشد.",+1
"اگر طراحی و کیفیت بسیار عالی ASUS را می‌پسندید و در ضمن قصد دارید تا نوت‌بوکی با سخت افزارهای مورد نیاز و سایز مناسب خود را داشته باشید،  ASUS X انتخاب خوبیست.",+2
"حدود يک هفته اي ميشه که اين نت بوک رو از ديجي کالا تهيه کردم و ممنونم به دليل بسته بندي بسيار عالي که نگراني بزرگ من در خريد اينترنتي بود، خدارو شکر که ديجي کالا تو اين مورد سنگ تموم گذاشت.",+2
من مدل i9100g دارم و اصلا داغ نميکنه.,+1
گوشي فوق العاده خوب با سرعت پردازش بسيار بالا مخصوصا براي کساني مثل من که هميشه با اينترنت و ايميل سروکار دارند.,+2
"به علاوه، سامسونگ قابلیت‌های بسیار جالبی (مانند Smart Stay،  Direct Call و S Voice) به سیستم عامل اندروید اضافه کرده است که تا به امروز بر روی هیچ گوشی اندرویدی دیگری مشاهده نکرده بودیم.",+2
"به خصوص اینکه در قسمت استراحت مچ و پشت درب،  طراحی الگو داری نیز دارد تا با سطحی کاملا صیقلی مواجه نباشیم.",0
در قلب این دوربین یک سنسور تصویر 16 مگاپیکسلی CCD قرار گرفته که رزولوشن خیلی بالایی را ارائه می دهد و در شرایط نوری مناسب می توانید عکس های با کیفیتی را با آن تهیه کنید.,+2
اما يادتون باشه که هميشه يه بهتريني بهتر از بهترين هست اما تو اين رنج قيمت ايني که روبروتونه بهترينه !,+2
"فقط در همین حد اشاره می‌کنیم که علاوه بر فن آوری هایی که در این دوربین به کار رفته،  از نظر طراحی نیز یکی از بهترین‌ها می‌باشد.",+2
"تنها عيبي که داره،  بهتر بود صفحه کليدش نور پس زمينه ميداشت.",-1
من اين محصول رو توي تخفيف خريدم خيلي عالي و ظريفه.,+2
"وزن داک 540 گرم وزن است و هنگامی که آن را به دستگاه متصل می‌کنید،  دستگاه به یک نت بوک تبدیل شده و وزن کلی آن به 1.1 کیلوگرم می‌رسد که باز هم بسیار سبک محسوب می‌شود و به راحتی می‌توان آن را جابجا کرد.",+1
با این حال از نرم افزار OCR کاملا شگفت زده شدیم به صورتی که با موفقیت توانست یک سند A4 را به فایل متنی تبدیل کند.,+1
دراخر بايد بگم ايفون5 گوشي که تو دنيا حرف اولو ميزنه.,+1
خيلي خوبه اما حيف که درايو نوري نداره!,+1
کیفیت تصویر خیلی معمولی است و چندان حرفی برای گفتن باقی نمی‌گذارد.,-2
"توي نگاه اول شايد قيمت بازي هاي اصل کمي گرون باشه اما اين گروني بي علت نيست و به کيفيت و دوام کالا بستگي داره
و اينکه ارزوني کپي خوري دستگاه همراه با ضرري که در آينده به شما ميرسه خيلي گرونه
لطفا به اين مساله فکر کنيد بعد اقدام کنيد.",0
من دو ساله دارم اما الان لنز دچار مشکل شده و چند وقت پيش در مشکل داشت که دادم درستش کردن و هر چند وقت يکبار آپديت ميخواد و کلا بهترين چيزي که داره دستش هست که از نظر وزني سنگينه ولي خوشدسته و در کل خيلي پايين تر از PS3 هستش اينو بخاطر اين ميگم که قبل از Xbox360 من PS3 داشتم.,-1
چون يا بايد شارژ رو خالي کني که دوباره شارژش کني يا صبح فردا با کمي شارژ بيرون بروي.,0
دوربين بي کيفيت.,-2
البته يه بدي هم داره.,-1
"تنها مشکلي که در مورد نخريدن اين تبلت باهاش مواجه بودم،  نداشتن gprs و edge روي اين تبلت بود.",-1
مرورگری اینترنت نیز در این گوشی با سرعت بالا انجام خواهد پذیرفت.,+1
شکل ظاهريش هم که خيلي زيباست .,+2
"• ورودی‌ها و خروجی‌ها از لحاظ پورت‌ها،  4540s بسیار کامل است.",+2
هر چند گوشي نسبتا خوبي است اما از نظر کيفيت ساخت و زيبايي و ارزش خريد نميتونه به LG Optimus 4X HD P880 برسه.,-1
"نکته منفی دیگری که در مورد طراحی این گوشی یافتیم،  دوربین خارج از بدنه آن است.",-1
"توي يک هفته کار با اين مدل هيچ گونه اثري از کرش يا کم شدن سرعت عليرغم نصب بازي هاي سنگين و انواع نرم افزارهاي مهندسي نديدم ،  اين مدل تنها مشکلش که زيادم به چشم نمياد عدم وجود نور پس زمينه صفحشه .",0
کارت حافظه (Memory Card) در هيچ يک از مدل‌ها (به جز Arcade Pack ) موجود نيست و در صورت نياز بايد آنرا به صورت جداگانه تهيه کرد.,-1
همچنین محافظ Gorilla Glass موجود بر روی این صفحه نمایش نیز وظیفه محافظت از صفحه در مقابل خش را دارد.,0
تاکنون نقدی برای اين محصول درج نشده است.,0
دست کم بر روی عکس باندهای تاریک و روشن دیده نمی شود.,0
بنابراین از P7700 انتظار تولید عکس هایی در حد G1x نمی رود.,-1
متاسفانه يکي از برند هاي معروف جهان که نوکيا بود در حال سقوط است.,-1
در کل بلافاصله بعد از بازکردن بسته ي اين گوشي احساس يک خريد متفاوت و لذت بخش را تجربه خواهيد کرد.,+1
"در مجموع همانند پرینتر این دستگاه،  اسکنر آن نیز تقریبا کمبودی ندارد و از نظر عملکرد خوب ارزیابی می‌شود.",+1
همچنین USB Flash card یا شیار کارت حافظه هم وجود ندارد.,0
سيم شارژش خيلي کوتاهه و اگر لازم باشه موقع شارژ با گوشي کار کنين يه مقدار اذيت ميکنه باتري خوبي داره.,0
مي دونم اين نقد مقداري طولاني هست ولي لطفا بخونيدش تا بهترين را انتخاب کنيد پردازنده و نرم افزار ها:همونطور که مي دونيد اين تبلت داراي پردازنده ي 4 هسته اي استمن خودم ايپد دارم و خواهرم هم اين تبلت را خريده و واقعا پشيمونه که ايپد نخريده ممکنه اين تبلت از لحاظ سخت افزاري قوي تر باشه ولي به خاطر وجود سيستم عامل اندرويد 4 هسته ي اين به اندازه ي 1 هسته ي ايپد هم کاربرد نداره با ايپد کوچکترين تيکي وجود نداره حتي در حين بازي کردن بازي هاي Full HD ولي TF700T با وجود پردازنده 4 هسته اي مقداري تيک مي زند يک چيزي هم هست که از اون 4 هسته ي پردازنده ات بايد استفاده کني بازي هاي سيستم عامل ios چندين برابر اندرويد هم از نظر کيفيت و هم از نظر تعداد هستند بازي هاي سيستم عامل اندرويد اصلا با ios قابل مقيسه نيست اگه باورتون نمي شه يک ايپد و يک تبلت اندرويدي گير بياريد و به app store اپل و aundroid market اندرويد يک نگاهي بندازيد همه ي بازي هاي app store تو ايران کرک شده اش پيدا مي شه و خيلي راحت و بدون هيچ هزينه اي مي تونيد تو ايپدتون بريزيدش بلوتوث:ايپد فقط يک بدي داشت که از بلوتوث ان فقط براي فرستادن فايل به يک محصول ديگر اپل مي شد استفاده کرد ولي اين مشکل در ios 6 که قرار است اخر شهريور بيايد حل مي شود و خيلي راحت مي تواني فايل هاتون را share کنيد.,0
"من خريدم و يک هفته بعد يه خط افتاد روي صفحه که بردم گارانتي شرکت هماهنگ ،  گفتند بردش اشکال داره الان تقريبا بيشتر از سه هفته است که تبلت من رو گرفتند و هنوز جواب درست هم نمي دهند.",-1
"وقتی این گوشی را برای اولین بار در دست می‌گیرید،  انتظار وزنی بیشتر و ساختاری فلزی و مستحکم‌تر را دارید،  و ممکن است در وهله اول کمی شما را مایوس کند.",-1
"به هر صورت همان‌طور که گفتیم،  DV300F علاوه بر نمایشگر دوم و Wi-Fi داخلی که به آن‌ها مجهز است،  در کل دوربین بسیار کوچک، بسیار باریک، بسیار سبک، مستحکم و خوش ساختی است.",+2
اما براي کساني که موبايل را براي گوش کردن آهنگ مي خواهند نمي تواند انتخاب خوبي باشد.,-1
بيشتر از يک ماه هست که اين هارد رو خريدم.,0
شايد گوشي asha302 براي آن دسته از کساني که تا به حال با گوشيهاي پيشرفته کار نکرده اند پيشنهاد مناسبي باشد.,+1
نوکيا ديگه نميتونه با ساير کمپاني ها رقابت کنه چون ديگه دير شده.,-1
نمایشگر کیفیت تصویر در صفحه نمایش به دو مشخصه رزولوشن و کنتراست بستگی دارد.,0
با عینک‌های 3 بعدی سامسونگ می‌توانید تصاویر خارق‌العاده 3 بعدی را با دقت فول اچ دی تماشا 1080p نمایید.,+2
"سرعت عالي پردازنده فوق العاده قدرتمند, ولي کيفيت دوربين جلو نسبت به کيفيت خود تبلت يه کم پايينه و تو ذوق ميزنه.",+1
"و اينکه فراموش کردن براي نمايش خاموش يا روشن بودن نامبرلاک چراغ قرار بدن و  فقط  براي کپس لاک اين چراغ تعبيه شده و بدتر از همه اينکه قرار داشتن هارد در سمت چپ ترکپد که باعث داغ شدن بيش از حد تاچ پد ميشه منو نسبت به اين محصول از سري بيزنس مايوس کرد،  پس حتما قبل از خريد آنلاين سعي کنيد حد المقدور درست بررسيش کنيد تا بعد پشيمون نشيد ",-2
"من که اين گوشي رو دارم دقيقا برعکس حرف هاي شماست
کيفيت صفحه نمايش عالي با تراکم پيکسلي بالاي297
کيفيت ساخت عالي
رابط کاربري خوب
",+2
و اگه داشته باشين به نسبت به قيمتش عاليه.,+2
شاید چنین آرایش دکمه‌ی فیزیکی در کنار دکمه‌ی لمسی در نگاه اول کمی عجیب به نظر برسد ولی پس از مدتی کار کردن با آن متوجه لذت‌بخشی چنین طراحی می‌شوید.,+1
به نظر من با اين مشخصات و قيمت گوشي عالي به نظر ميرسه,+2
"در مقابل رقبایی مانند iPad mini یا Nexus 7 و یا حتی FonePad،  از نظر کیفیت ساخت باید Note 8 را در آخرین رده قرار دهیم.",-1
جعبه‌ی این گوشی را که باز می‌کنید با تجهیزات خیلی ساده ای مواجه می‌شوید.,-1
در مورد کيفيت اسکن و پرينت و کپي مي تونين خودتون تغييرش بدين و در کل عاليه!,+2
اسکنر Canon LiDE 100 توانایی اسکن کردن نگاتیو 35mm را ندارد.,-1
داشتن gps يکي از عواملي بود که باعث شد از بين مدل مشابه canon اين دوربينو بخرم ولي بايد بگم که در بيشتر مناطق سيگنال نميده که علتشو نميدونم در صورتي که gps معمولي درست تو همون نقطه مختصات ميده در کل نسبت به هزينه اي که واسش کردم راضي نيستم کيفيتش در حد دوربين کامپکته نه ي دوربين اولترازوم با اون همه تعريفو تمجيد .,-1
این لنز فوق‌العاده سریع است.,+2
؟,0
"از نگاه نخست، معلوم است که N43SM نوت‌بوکی زیباست که ایسوز به طراحی آن اهمیت زیادی داده است.",+1
ـ برخي برنامه هاي پيش فرض روي گوشي کارا نيستند و بايد دنبال جايگزين براي آنها بگرديد.,-1
طراحی جذاب و زیبای منحصر به فرد سامسونگ از حاشیه باریک بدنه استفاده می‌کند تا تجربه فراگیرتر و گسترده‌تری داشته باشید.,+2
تشکر ميکنم ازديجي کالا براي بسته بندي و ارسال فوق العاده و مرتبش..,+2
264 را دارد.,0
"کاش صفحه کليدش کامل بود اونوقت ديگه هيچي کم نداشت 
",-1
"(و دوربين آيفون که 8 مگا پيکسله و اين،  5 )پردازشگر A5 استفاده شده در اين دستگاه،  نسبت به مدل استفاده شده در آيپاد 4 ،  دو برابر پردازش سريع تر و با بهره گيري از گرافيک دو هسته اي،  تا هفت برابر قدرت پردازش تصوير بهتري ارائه ميده.",+1
يه مقايسه با 5 اينچي هاي ديگه مثل باترفلاي يا سونيz يا zl بکنيد تا ببينيد چقدر اين بزرگتره.,-1
عاليه فقط خدا کنه مثل بقيه محصولات ايسوس قيمتش خيلي بالا نباشه,+1
لازم به ذکر است که سری G580 دارای Wi-Fi با استاندارد 802.11 b/g/n بوده و از بلوتوث نسخه 3.0 نیز پشتیبانی می‌کند.,0
ديگري قابليت گرفتن تعداد زيادي پرينت در يک روز است .,+1
"در ضمن،  یک دوربین 2 مگاپیکسلی نیز برای انجام مکالمات تصویری وجود دارد که برای این منظور بسیار مناسب و با کیفیت است.",+2
"گیرنده دیجیتال فراسو مدل FDR-211 با امکانات جدید،  کیفیت ساخت فوق‌العاده و استفاده از تکنولوژی‌های روز به بازار عرضه شده است.",+2
عدم پشتيباني از حافظه جانبي مشکل چندان مهمي نيست و نسبت ساير قابليت ها زياد به چشم نمي ياد.,0
فرمت نخست برای تماشا بر روی سینمای خانگی مناسب است و فرمت دوم فرمت مناسب‌تری برای استفاده بر روی رایانه می‌باشد.,+1
"عملکرد فوق‌العاده‌ی پردازنده،  این گوشی را در بین برترین‌ها قرار داد،  اما پردازشگر گرافیکی این دستگاه،  عملکردی خوب و البته  نه چندان فوق‌العاده دارد.",+1
• سخت افزار داخلی اکثر مدل‌های E1-531 از نسل دوم پردازنده های دو هسته ای Intel Core i3 و Core i5 استفاده می‌کند.,0
اما اولین تجربه برای اپل چندان خوش آیند نبود.,-1
"و راجع به اين گوشي:
1- کيفيت صفحه نمايشش واقعاً عاليه و تو حالت نور ماکسيمم،  حتي توي روز هم چشم رو ميزنه.",+2
نسبت به پولي که ميدين پردازندش خوبه ولي چون پردازنده گرافيکي نداره براي بازي اصلا خوب نيست صفحه ي کوچيکش هم براي وب گردي مناسب نيست خودم يک سال اين گوشيو داشتم,-1
حتی صدای اسپیکرهای این نوت‌بوک نیز ما را تحت تاثیر خود قرار داد.,+1
این مرورگر از Adobe Flash هم پشتیبانی می‌کند و محتوای آن از قبیل ویدیو و گرافیک نیز کاملاً عالی اجرا می‌شود.,+2
دوربين 1.2 مگاپيکسلي جلو که اگه رايتل داشته باشي بازم مجبوري با کيفيت پايين تر استفادش کني.,-1
"من تهيه کردم ،  هم کوچک و هم زيبا.",+1
با این حال در کل عکس‌ها از نظر نور دهی و رنگ‌ها خیلی خوب هستند.,+2
همچنين شارژ بسيار سريع باطري هم جايي براي گفته شدن داره.,+1
این لنز فواصل کانونی معادل 43.6-436 میلی متر را پوشش می‌دهد که البته باعث می‌شود در 43.6 میلی متر چندان لنز وایدی نباشد و میدان دید محدودی را در بر گیرد.,-1
سوال: آيا XBOX360 کپي‌خور شده و داراي مود چيپ مي‌باشد؟,0
"اما با اینکه شکل کلی iOS تغییری نداشته است،  ولی به گفته کمپانی اپل،  هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.",0
"1-به نسبت قيمتش و در مقايسه با دوربين هاي در اين رده مثل sx40 و fz150  نويز در آن زياد است و عملا بعد از iso 1600 نويز آن شديد ميشود و عکس را خراب ميکند و عکس در حالت عادي خوب است ولي وقتي روي آن زوم کني ميفهمي چقدر نويز دارد
2-در نور کم عملکرد خوبي ندارد
3-باز هم مثل هميشه دستکاري در رنگها که از خصوصيات سوني است و افراد حرفه اي آن را نمي پسندند
4-صفحه نمايش آن گردان نيست
5-قيمتش نسبت به خصوصياتش به نظر من بالاست
6-ايزو بالا و مگاپيکسل بالا آن عملا کارايي ندارد چون حسگر اين قدرت را ندارد که عکس خوبي در ايزو بالا بگيرد و مگاپيکسل آن هم با اين حسگر نميسازد و حتي شايد عکس را خراب کند",-1
اما صفحه کلید لمسی یا همان صفحه کلید مجازی روی نمایشگر Galaxy S II فوق‌العاده است.,+2
ولي بايد به اين نکته هم توجه کرد که براي افرادي که توانايي کنار آمدن با سيستم عامل هاي ديگر و به طور کلي با اسمارت فون ها را ندارند و در عين حال ميخواهند يک گوشي خاص داشته باشند بسيار عالي ميباشد .,+2
"با این حال با توجه به ساختار پلاستیکی آن،  نباید استحکامی فوق‌العاده را از آن انتظار داشته باشیم.",-1
"چیپ Nvidia Tegra3 به همراه پردازنده چهار هسته ای با فرکانس 1.5 گیگاهرتز و یک پردازشگر گرافیکی ULP GeForce،  اجزای تشکیل دهنده سخت افزار این گوشی می‌باشند که به همراه یک گیگابایت حافظه رم، عملکرد بسیار خوب و روانی را به نمایش می‌گذارند.",+2
شکيل ساده با امکانات زياد و مقرون به صرفه.,+2
به طور کلی عکس‌های گرفته با گوشیPlus One X کیفیت بسیار بالایی دارند.,+2
به عنوان يک عکاسي که با دوربينهاي مختلف کار کرده ام مي تونم بگويم اين سري از دوربينهاي سوني نسبت به قيمت آنها واقعاً فوق‌العاده‌اند.,+2
ولي يه ايراد بسيار بزرگ که باهاش مواجه شدم و کمي نا اميدم کرد اين بود که قلم خازني موقعي که ميخواين از کليد هاي زير Screen  استفاده کنيد و به عنوان مثال به عقب برگرديد ديگه کاري ازشون ساخته نيست و شما مجبوريد قلم رو کنار گذاشته و با استفاده از انگشت دستور العمل بازگشت به صفحه عقب و يا Home رو بدين.,-1
"هنگامی که حالت Super IPS+ صفحه نمایش فعال شود،  روشنایی آن به طرز چشمگیری افزایش می‌یابد بطوریکه به مراتب صفحه نمایش روشن‌تری از تبلت های Transformer Prime و یا Samsung Galaxy Tab 2 و حتی iPad 3 مشاهده خواهید کرد.",+1
ولي در صورت استفاده از آهنگ و موسيقي متأسفانه شارژش زود تمام ميشود.,-1
"ویدئو یا بسیار کشیده می‌شود و ابعاد نا مأنوسی پیدا می‌نماید،  و یا اینکه باید سیاهی‌های زیادی را در بالا و پایین صفحه تحمل نمایید.",-1
اما حيف که اينم باطريش داخليه و خريدش جرات ميخواد چون براي تعويض باطري در صورت لزوم بايد پشتشو باز کني و براي فروش دست دوم افت خيلي زيادي داره.,-1
گوشي خوبي به نظر ميرسه .,+1
"درضمن،  تو هر منبعي گشتم،  جايي رو نديدم که گفته باشه رو صفحه نمايش،  محافظ گوريلا گلاس يا ضدخشي چيزي باشه!",0
دوربين خوب با فلش بی‌نظير.,+2
اما این بار فوجی فیلم شاهکاری دیگر را خلق کرده است که قطعا در CES 2011 یکی از بهترین‌ها بود.,+2
درحقیقت Galaxy S II جزو نخستین گوشی‌های هوشمند با پردازنده‌ی دو هسته‌ای می‌باشد و در ادامه باید منتظر گوشی های بیشتری با چنین پردازنده هایی باشیم.,0
در قلب این گوشی پردازنده تک هسته‌ای یک گیگا هرتزی Scorpion به همراه 512 مگابایت حافظه RAM قرار دارند که محیط کاربری بسیار روانی را به وجود می‌آورد.,+1
آدم با پولش ميتونه دو تا گوشي هم سطح desire x بخره!,0
( دوربين بسيار عالي در شرايط نور طبيعي ) کيفيت فيلم‌برداري هم در حد مطلوبي هست ولي احساس ميکنم Galaxy S III کمي بهتر جلوه ميکرد.,+1
دوربين و کيفيت صدا در حد خوبي بود و همون قدري بود که انتظار داشتم و اما ..,+1
سلام به همگي اين گوشي رو من 2 روزه گرفتم نسبت به امکانات و مشخصاتي که داره گوشي خوبيه با اين قيمت و امکانات يک گوشي از LG  هستش که گرونتره .,+1
واقعا لذت بخشه بازي کردي وقتي عملي بازي کني..,+1
به هر حال اپل مجبور است بهای تصمیم سرسختانه ای که در مقابل گوگل گرفته را بپردازد.,0
همانگونه که ميدانيد شرکت مايکرو سافت از همان فناوري HD DVD براي کنسول x box360 خود استفاده ميکند که معمولا 9 GB ظرفيت دارد و اين در مقابل کنسول رقيب ps3 که از فناوري نوين بلو-ري بهره ميبرد و ظرفيت بسيار بالايي دارد يک نقطه ضعف به شمار ميرود.,-1
"اگر قابلیت نصب سیم کارت را کنار بگذارید،  iPod Touch جدید،  کم و بیش همان تجربه کاری iPhone 5 را در اختیار شما قرار خواهد داد.",0
؟,0
محیط کار با دوربین در این گوشی کاملا مبتدیانه و با حداقل امکانات می‌باشد.,-1
به اين معنا که کاربر خود را در مرکز دنياي ساختگي توسط اين کنسول حس خواهد کرد.,0
من با hx100 کار کرده ام دوستاني که مي گويند اين دوربين با hx100 تفاوت چنداني ندارد بايد به عرض شون برسانم که اين دوربين يعني hx200v از لحاظ کيفيت عکس داراي dpi 350 است که در نوع خود و در کلاس  کامپکت ها عملکرد بسيار عالي به حساب مي آيد .,+2
فوکوس ماکرو نیز بسیار عالیست چرا که در این مود اجازه‌ی فوکوس و عکاسی از سوژه‌هایی به نزدیکی 3 سانتی متر را به شما می‌دهد.,+2
"معايب از نظر من:
کيفيت پايين تصوير+کيفيت ساخت نا مناسب+رابط کاربري نا مناسب",-1
به نظر من ايکس باکس با کينکت يعني ورزش کامل,+1
"قيمت مناسب، اندازه ي کوچک، طراحي شيک و جمع و جور، کيفيت ساخت خوب",+2
اما به هيچ وجه مخاطب رو متحير نميکنه و زود تکراري ميشه.,-1
سلام من 1 روزه اين پرينتر رو خريداري کردم ولي  اصلا کيفيت چاپ رنگي نداره و ازش زده شدم البته فقط پرينت کردنش خوب نيست من هم چون فقط براي همين ميخواستمش ازش زده شدم و گذاشتمش گوشه خونه,-1
"که با خاموش کردن و روشن کردن
گوشي اين مشکل حل ميشه براي چند روز !",0
بدین صورت که کافی است دوربین را بر روی مود عکاسی Smart Auto قرار دهید و دکمه‌ی شاتر را بفشارید تا دوربین به طور خودکار بهترین و با کیفیت‌ترین عکس را تهیه کند.,+2
به روز رسانی: باتری لیتیوم یونی قابل شارژ این دوربین در هر بار شارژ کامل توانایی شارژدهی برای 400 تا 490 عکس را دارد که مقدار نسبتاً خوبی است.,+1
در کل xbox خيلي بهتره!,+2
"اما به نظر می‌رسد کمپانی اپل،  پردازنده جدید خود را مخصوص آیفون 5 طراحی و تولید نموده است.",0
فیلم‌های گرفته شده روان بوده و تصاویر بسیار شارپ می‌باشند.,+2
تنها در تماشا از زاویه های بسیار تند تغییر رنگ مشاهده می‌گردد.,0
"ولي يه مشکلي داشت که در بلند مدت ممکنه خيلي اذيت کنه،  اونم اينه که پشت گوشي خيلي سريع خط ميفته که فکر کنم تو سفيدش کمتر پيدا باشه",-2
واقعیتی که باعث می‌گردد iPhone 5 به یکی از باریک‌ترین و سبک‌ترین گوشی‌های هوشمند موجود در بازار هم تبدیل گردد.,+1
ازش راضي هستم ..,+1
نمایشگر این دوربین بسیار عالیست به طوری که از نوع 3 اینچی با رزولوشن فوق العاده ی 921000 پیکسل می باشد.,+2
به دلیل استفاده از پردازنده گرافیکی Cortex A8 با کنتراست بالا در تبلت GSP-X7 تصویر در مقایسه با تبلت‌هایی با رزولوشن مشابه وضوح بیشتری دارد.,0
هر از چند گاهي مثلن وقتي که برق قطع ميشود کاغذ که وسط دستگاه گير کرده براي در آوردنش ريسک بايد بکني بکشي در بياد يا نه مونده به شانس شما از روشهاي مختلف امتحان کردم خودش نميتونه در بياره.,-1
بعضي ها ميگن باطري ضعيفي داره که درست نيست من با گوش دادن موسيقي زياد و استفاده روزمره تا 24 ساعت باطري جواب داده و زماني هم بوده که تا 48 ساعت جواب داده يا ميگن دکمه هاش بايد فشار زيادي بدي !,0
زيبا و شيک.,+1
از ديجي کالا هم کمال تشکر رو دارم بابت محيط مناسبي که براي هموطناي عزيز فراهم کردن.,0
روشنایی صفحه نمایش نیز عالیست.,+2
"نسبت به قيمتش دستگاه خوبي هست
و در شبکه هم جواب خوبي داده کارتريج هم اگر اصل استفاده بشه نسبت به کاتريج هاي تقلبي که قيمت پايين تري دارن .",+1
از لحاظ سخت افزاري از اکسپريا اس و گالاسي اس 2 ضعيفتره.,-1
مثلا پورت USB روي هارد يه جوريه.,-1
در پایین تبلت نیز درگاه مربوط به اتصال تبلت به کامپیوتر وجود دارد.,0
نوع اول که توسط شرکت LG و هيتاچي طراحي شده بود و در هنگام فعاليت کمي نويز قابل شنيدن در محيط ايجاد مي‌کرد.,-1
"شيره PS3
همه دروغ ميگن!",-1
"جذابیت‌های فراوان آن باعث گردیده که به یک تبلت جالب تبدیل گردد،  اما به هر حال باید بپذیریم که تجربه اول مایکروسافت،  بدون نقص نیست و باید منتظر انتشار تبلت های بعدی این کمپانی ( یا حداقل Surface Pro ) باشیم تا بتوانیم لذت داشتن یک تبلت-لپ تاپ را نیز تجربه نماییم.",-1
عکس ها و فیلم هایی که می گیرید بر روی کارت های حافظه ی SD/SDHC/SDXC ذخیره می شوند.,0
"با استفاده ممتد از این گوشی،  حدودا یک روز می‌توانید از آن استفاده نمایید،  اما برای استفاده از اینترنت پر سرعت LTE،  باتری این گوشی بیشتر از چند ساعت دوام نمی‌آورد و احتیاج به شارژ مجدد پیدا می‌کند.",-1
هیچ برنامه جدیدی که برای نسخه جدید سیستم عامل اپل نسبت به نسخه پیشین یک برتری ایجاد نماید بر روی iOS 6 قرار داده نشده است.,-1
برای اسکن عکس نیز چندان دقت رنگی بالایی ندارد و رزولوشن پایین نیز باعث می‌شود که جزئیات را خیلی عالی ثبت نکند ولی به هر صورت اسکنری ارزان قیمت است.,-1
" واقعا‎ ‎عاليه،  سيستم‎ ‎عالي .",+2
من اين لپ تاپ رو تازه از ديجي کالا بعد از دو سه هفته جستجو بين مدلهاي مختلف گرفتم.,0
صفحه نمايش بسيار با کيفيت HD با تراکم پيکسلي 297 پيکسل 2.,+2
واقعاً ممنون,+1
و همچنین با کابل USB و اتصال به کامپیوتر آن را شارژ نمایید.,+1
